TERM,TOTALCOLLECTIONFREQ
traditional,194234
training,193963
stay,193895
profile,193831
connect,193612
interview,193496
approach,193416
reduce,193390
middle,193174
teach,193045
purpose,192061
market,191700
expand,190954
census,190258
keep,189983
rate,189658
particularly,189346
tour,188477
sister,188432
Service,188343
historical,188246
mention,188183
centre,187703
parent,187635
following,187598
lack,187422
river,187356
variety,187062
suffer,186835
survive,186688
learn,186385
la,186226
owner,185998
file,185765
purchase,185480
populated,185220
Journal,184973
indicate,184946
natural,184731
overall,184648
Hill,184476
musical,184442
acquire,183845
feel,183824
obtain,183274
compose,182540
concern,182299
publication,182173
achieve,181878
grant,181746
cut,181595
thing,181067
gold,181026
idea,180477
cost,180370
relationship,180085
chief,180079
trade,179973
Day,179144
decision,179084
reveal,178686
key,178307
contribute,178013
identify,178002
combine,177897
facility,177886
mainly,177821
champion,177549
money,177309
value,177271
car,177176
particular,176961
background,176746
Committee,176576
novel,176345
department,176310
multiple,176142
girl,175947
shoot,175914
product,175790
drop,175516
construct,175395
protect,175317
account,175092
Court,175059
room,175027
Public,174800
red,174713
episode,174318
manager,174285
Research,173850
credit,173811
staff,173776
nearly,173457
detail,173395
self,173178
Board,173081
letter,172838
Star,172216
majority,171852
color,171792
recognize,171705
couple,171620
km,171218
ship,171204
opening,170928
basis,170789
scene,170334
network,169563
limit,169281
Education,169202
belong,169169
et,168827
foot,168514
agree,168445
fellow,167646
label,167383
honor,167366
certain,167273
apply,167227
status,167199
sea,166570
editor,166447
regional,166193
divide,165974
mile,165256
propose,165212
authority,165175
piece,164953
battle,164588
decade,164299
buy,164280
street,164223
Lee,164215
primarily,164065
newspaper,164057
victory,163962
inside,163901
fund,163810
teacher,163800
Time,163754
nearby,163505
element,163359
commission,163352
shape,163211
test,163024
function,162996
championship,162944
olympic,162808
specific,162762
clear,162743
Director,162628
Post,162194
Games,162187
nation,162005
destroy,161927
intend,161918
route,161871
Library,161841
sound,161791
beginning,161741
critical,161665
Team,161565
Man,161417
unknown,161286
institution,161236
fifth,161165
health,161103
improve,160339
online,160123
sale,159746
peak,159733
heart,159420
meeting,159283
arm,159132
succeed,159005
railway,158937
distance,158881
compare,158757
movie,158613
resident,158608
map,158559
prove,158509
step,158492
display,158478
recently,158444
capture,158340
determine,158144
talk,158056
economic,158052
husband,157968
question,157857
officially,157338
paper,157324
shortly,156974
voice,156940
vocal,156618
organize,156450
county,156450
measure,156045
response,155957
directly,155820
management,155817
era,155334
responsible,155276
descent,154792
adopt,154413
partner,154168
prevent,153994
rename,153728
hard,153719
method,153309
prominent,153153
master,153075
initial,152888
declare,152631
immediately,152525
origin,152378
job,152164
executive,151988
branch,151897
genus,151883
recording,151580
drama,151476
professor,151401
heavy,151384
highly,151381
document,151312
boy,151256
Book,151133
damage,151071
supply,150987
Law,150158
evidence,150000
contemporary,149917
island,149773
direction,149758
pre,149528
complex,149343
alongside,149303
cast,149030
nature,148813
news,148797
tie,148637
save,148572
store,148533
ed,148450
tournament,148149
technology,147916
datum,147869
candidate,147649
province,147578
settle,147529
historic,147520
schedule,147437
policy,147401
soldier,147032
educate,146527
Foundation,146321
african,146277
critic,146040
